Epoch,Train_Loss
0,[0.000271215398772424]
Epoch,Train_Loss
0,"[0.000271215398772424, 0.0005028033657234255]"
Epoch,Train_Loss
0,"[0.000271215398772424, 0.0005028033657234255, 0.0007255266293758104]"
Epoch,Train_Loss
0,"[0.000271215398772424, 0.0005028033657234255, 0.0007255266293758104, 0.0009342309406825474]"
Epoch,Train_Loss
0,"[0.000271215398772424, 0.0005028033657234255, 0.0007255266293758104, 0.0009342309406825474, 0.0011602499104347548]"
Epoch,Train_Loss
1,"[0.000271215398772424, 0.0005028033657234255, 0.0007255266293758104, 0.0009342309406825474, 0.0011602499104347548, 0.0002141322208051922]"
Epoch,Train_Loss
1,"[0.000271215398772424, 0.0005028033657234255, 0.0007255266293758104, 0.0009342309406825474, 0.0011602499104347548, 0.0002141322208051922, 0.00046953032998477715]"
Epoch,Train_Loss
1,"[0.000271215398772424, 0.0005028033657234255, 0.0007255266293758104, 0.0009342309406825474, 0.0011602499104347548, 0.0002141322208051922, 0.00046953032998477715, 0.0006617349336127274]"
Epoch,Train_Loss
0,[0.000268117199424936]
Epoch,Train_Loss
0,"[0.000268117199424936, 0.0004989188659090956]"
Epoch,Train_Loss
0,[0.00024733270917619976]
Epoch,Train_Loss
0,"[0.00024733270917619976, 0.0004954169978614615]"
Epoch,Train_Loss
0,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354]"
Epoch,Train_Loss
0,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814]"
Epoch,Train_Loss
0,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471]"
Epoch,Train_Loss
1,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579]"
Epoch,Train_Loss
1,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615]"
Epoch,Train_Loss
1,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491]"
Epoch,Train_Loss
1,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672]"
Epoch,Train_Loss
1,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922]"
Epoch,Train_Loss
2,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973]"
Epoch,Train_Loss
2,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804]"
Epoch,Train_Loss
2,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804, 0.00043078039874549676]"
Epoch,Train_Loss
2,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804, 0.00043078039874549676, 0.0005479103977940663]"
Epoch,Train_Loss
2,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804, 0.00043078039874549676, 0.0005479103977940663, 0.000732584781005603]"
Epoch,Train_Loss
3,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804, 0.00043078039874549676, 0.0005479103977940663, 0.000732584781005603, 0.00012176886326124689]"
Epoch,Train_Loss
3,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804, 0.00043078039874549676, 0.0005479103977940663, 0.000732584781005603, 0.00012176886326124689, 0.00018131248089445738]"
Epoch,Train_Loss
3,"[0.00024733270917619976, 0.0004954169978614615, 0.0006976030453914354, 0.000944021709826814, 0.0011695249942170471, 0.0002700396746146579, 0.00045041236556878615, 0.0006313596452985491, 0.0008239927011377672, 0.0009644489729103922, 0.00016952937390623973, 0.0003488085249892804, 0.00043078039874549676, 0.0005479103977940663, 0.000732584781005603, 0.00012176886326124689, 0.00018131248089445738, 0.0003267816836092652]"
Epoch,Train_Loss
