Epoch,Train_Loss
0,[0.0011859357657552766]
Epoch,Train_Loss
0,"[0.0011859357657552766, 0.002357622034409467]"
Epoch,Train_Loss
0,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793]"
Epoch,Train_Loss
0,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203]"
Epoch,Train_Loss
0,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863]"
Epoch,Train_Loss
1,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293]"
Epoch,Train_Loss
1,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535]"
Epoch,Train_Loss
1,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524]"
Epoch,Train_Loss
1,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444]"
Epoch,Train_Loss
1,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505]"
Epoch,Train_Loss
2,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438]"
Epoch,Train_Loss
2,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523]"
Epoch,Train_Loss
2,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287]"
Epoch,Train_Loss
2,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643]"
Epoch,Train_Loss
2,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158]"
Epoch,Train_Loss
3,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158, 0.0010642736899752576]"
Epoch,Train_Loss
3,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158, 0.0010642736899752576, 0.0020707915810977712]"
Epoch,Train_Loss
3,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158, 0.0010642736899752576, 0.0020707915810977712, 0.003107644489833287]"
Epoch,Train_Loss
3,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158, 0.0010642736899752576, 0.0020707915810977712, 0.003107644489833287, 0.004138785209976324]"
Epoch,Train_Loss
3,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158, 0.0010642736899752576, 0.0020707915810977712, 0.003107644489833287, 0.004138785209976324, 0.005083845282803062]"
Epoch,Train_Loss
4,"[0.0011859357657552766, 0.002357622034409467, 0.0035234698127297793, 0.004680203670213203, 0.005827646335633863, 0.0011303900870956293, 0.0022489032424798535, 0.003340129692013524, 0.004438164815181444, 0.005608758685969505, 0.001064752129947438, 0.0021843253063554523, 0.003208885673715287, 0.004224148918600643, 0.00528594057099158, 0.0010642736899752576, 0.0020707915810977712, 0.003107644489833287, 0.004138785209976324, 0.005083845282803062, 0.0009839308762750706]"
Epoch,Train_Loss
